full_word,sentence_word_index,total_word_index
On,0,589
M. de Rênal,7,634
M. de Rênal,8,754
M. de Rênal,3,939
M. de Rênal,26,1040
M. de Rênal,10,1094
M. de Rênal,6,1480
M. de Rênal,7,1559
Valenod,0,1847
M. de Rênal,40,1915
M. de Rênal,7,2325
Mme de Rênal,0,2406
M. de Rênal,28,2434
Chélan,29,2800
Noiroud,0,3109
Appert,0,3125
M. de Rênal,13,3313
Valenod,0,3327
M. de Rênal,3,3517
Valenod,0,3526
M. de Rênal,25,3802
Sorel,7,3974
M. de Rênal,26,4117
M. de Rênal,32,4217
Mme de Rênal,9,4359
Valenod,0,4382
de Rênal,1,4454
M. de Rênal,3,4636
Elle,0,4633
M. de Rênal,4,4674
Ducrest,0,4772
M. de Rênal,11,4791
Sorel,32,4912
M. de Rênal,0,5006
M. de Rênal,20,5107
Julien,28,5115
Sorel,2,5089
Sorel,3,5172
M. de Rênal,11,5252
Sorel,7,5281
M. de Rênal,24,5298
Julien,10,5534
Sorel,8,5532
Julien,15,5626
Julien,11,5672
Julien,6,5734
Julien,12,5811
Julien,7,5984
Julien,11,6339
M. de Rênal,10,6723
Julien,6,6849
Julien,6,7143
Sorel,0,7214
M. de Rênal,6,7290
Sorel,25,7395
M. de Rênal,0,7456
M. de Rênal,0,7632
M. de Rênal,41,7792
M. de Rênal,3,7754
M. de Rênal,5,7831
M. de Rênal,0,7863
--Rendez,24,7887
Durand,0,7906
Sorel,11,8006
Julien,8,8019
Fouqué,16,8060
Julien,0,8121
d'Arcole,16,8265
Julien,2,8308
Julien,0,8622
Bonaparte,12,8743
Mme de Beauharnais,22,8753
Bonaparte,22,8779
Julien,5,8762
Bonaparte,1,8868
Julien,17,8988
M. de Rênal,5,9197
Julien,6,9207
Louis Jenrel,17,9239
Julien,3,9312
Julien,2,9346
Julien,32,9386
M. de Rênal,10,9398
Julien,0,9442
Mme de Rênal,3,9464
Elle,0,9749
Julien,0,9793
Julien,0,9827
Mme de Rênal,0,9870
Julien,0,9920
Julien,7,10049
Mme de Rênal,12,10355
Julien,11,10405
Julien,5,10555
de Rênal,1,10551
Elle,0,10569
